time,open,high,low,close
1775012220,6579.25,6579.75,6578.75,6579.25
1775012280,6579,6579.5,6578.25,6578.5
1775012340,6578.25,6579,6578.25,6578.5
1775012400,6578.5,6578.75,6577.75,6578
1775012460,6577.75,6580,6577.75,6580
1775012520,6580,6580,6579,6580
1775012580,6580,6580.25,6579.5,6580
1775012640,6580,6580,6578.5,6579
1775012700,6579,6579,6578.5,6578.75
1775012760,6579,6580,6579,6579.75
1775012820,6579.5,6582.75,6579.5,6582
1775012880,6581.5,6582,6581,6581.75
1775012940,6582,6583,6581.5,6581.5
1775013000,6581.75,6582.25,6581.25,6582
1775013060,6582,6582.25,6581,6581
1775013120,6581,6581.75,6580.75,6581.75
1775013180,6581.75,6581.75,6581.25,6581.5
1775013240,6581.5,6581.75,6580.75,6581.25
1775013300,6581.25,6581.25,6579.75,6580.25
1775013360,6580.25,6581,6580,6580.75
1775013420,6580.75,6581.5,6580.75,6581.5
1775013480,6581,6581,6579.5,6579.75
1775013540,6580,6581,6579.75,6579.75
1775013600,6579.75,6580.25,6579.25,6580
1775013660,6580,6580.75,6579.5,6580.5
1775013720,6580.5,6580.75,6579.5,6580.25
1775013780,6580.25,6581,6580.25,6580.75
1775013840,6581,6581,6578.25,6578.25
1775013900,6578.5,6579.5,6578.25,6579.25
